15	9	E	-6321384.69552185	200
emissionprobs	14	5	H3k4me2	0	0.9999378762499092
emissionprobs	14	5	H3k4me2	1	6.2123750090878E-5
emissionprobs	14	6	H3k4me3	0	0.9998317299499844
emissionprobs	14	6	H3k4me3	1	1.6827005001562403E-4
emissionprobs	14	7	H3k79me2	0	0.9965523027493141
emissionprobs	14	7	H3k79me2	1	0.003447697250685983
emissionprobs	14	8	H3k9ac	0	0.9981762803901162
emissionprobs	14	8	H3k9ac	1	0.0018237196098837751
emissionprobs	15	0	H2afz	0	0.9565749907018117
emissionprobs	15	0	H2afz	1	0.043425009298188315
emissionprobs	15	1	H3k04me1	0	0.9964270593581439
emissionprobs	15	1	H3k04me1	1	0.00357294064185614
emissionprobs	15	2	H3k09me3	0	0.8459122191762326
emissionprobs	15	2	H3k09me3	1	0.15408778082376745
emissionprobs	15	3	H3k27ac	0	0.996803762120106
emissionprobs	15	3	H3k27ac	1	0.003196237879893949
emissionprobs	15	4	H3k36me3	0	0.9957477564372164
emissionprobs	15	4	H3k36me3	1	0.004252243562783576
emissionprobs	15	5	H3k4me2	0	0.9980705527802102
emissionprobs	15	5	H3k4me2	1	0.0019294472197897788
emissionprobs	15	6	H3k4me3	0	0.992225630425463
emissionprobs	15	6	H3k4me3	1	0.00777436957453694
emissionprobs	15	7	H3k79me2	0	0.9748443043350775
emissionprobs	15	7	H3k79me2	1	0.025155695664922498
emissionprobs	15	8	H3k9ac	0	0.9713073777416299
emissionprobs	15	8	H3k9ac	1	0.02869262225837008
